N|N0003|200106|AA|11|22|7890|7032065|53583|6941636|30800|2061346|2724694|1320601|856322|9473|0.0035|0.0377|3212115|0.0376|31|2267370|19|1492951|0.0493|32
N|N0003|200106|AA|11|23|1386|3857075|15900|3834575|4600|766685|1780593|819067|467927|4903|0.0106|0.0515|1521244|0.034|33|1224236|19|1093695|0.055|34
N|N0003|200106|AA|11|24|385|2298206|20400|2271206|700|307511|1282680|474283|204132|3300|0.0374|0.0824|625974|0.0272|30|722643|22|923289|0.0657|31
N|N0003|200106|AA|12|21|8116|1645623|346619|1282089|11800|603537|415203|174540|96837|3289|-0.004|0.015|463855|0.0294|28|753728|21|76306|0.0246|29
N|N0003|200106|AA|12|22|7385|6732299|1239165|5434134|41000|2371588|1829451|781314|458964|31217|-0.0103|0.0181|1836842|0.0279|36|3308969|22|329323|0.0259|37
N|N0003|200106|AA|12|23|1933|5290439|920999|4340140|17500|1248605|1769887|820363|465385|48300|-0.0013|0.0186|1442539|0.0312|38|2564442|38|350659|0.0266|47
N|N0003|200106|AA|12|24|766|4429920|793570|3578150|10000|718732|1634364|641426|523728|63300|-0.009|0.0243|1030349|0.0309|40|2024535|55|533266|0.0282|50
N|N0003|200106|AA|13|21|10846|2427913|1274677|1118657|30100|289678|382599|232471|216154|26205|-0.0031|||||||||
N|N0003|200106|AA|13|22|5438|4800423|2124106|2594200|55100|487811|825996|555195|619445|136793|0.0027|||||||||
N|N0003|200106|AA|13|23|1265|3384859|1545849|1779300|36100|249085|554987|379231|508749|100548|0.0126|||||||||
N|N0003|200106|AA|13|24|337|1969930|808184|1101346|19200|70462|328320|208723|400313|91528|0.0232|||||||||
N|N0003|200106|AA|14|21|9320|1680225|959303|692852|21300|88227|180233|151910|251196|40063|0.0196|||||||||
N|N0003|200106|AA|14|22|5674|5551117|3176807|2255887|72400|230029|503502|511717|886751|179888|0.0201|||||||||
N|N0003|200106|AA|14|23|1620|4629592|3054217|1499764|42800|126485|312026|377106|608792|93655|0.0243|||||||||
N|N0003|200106|AA|14|24|472|2959857|1914485|948838|27500|42214|160610|220414|477100|60900|0.0303|||||||||
N|N0003|200106|AA|15|21|5018|967576|726583|227995|2200|12176|38811|38704|94632|41809|-0.0014|||||||||
N|N0003|200106|AA|15|22|2618|2419359|1744531|589118|16000|15140|73346|101691|278346|116442|0.0304|||||||||
N|N0003|200106|AA|15|23|1004|2904385|2047375|640659|5800|19800|94654|121400|259999|120900|0.014|||||||||
N|N0003|200106|AA|15|24|338|2104412|1250110|624160|6900|5000|55800|75200|267760|164100|0.0325|||||||||
N|N0003|200106|AAT|11|21|48|14046|0|14046|0|7421|4549|1485|591|0|0.0314|0.0304|2513|0.01|25|11333|14|200|0.01|90
N|N0003|200106|AAT|11|22|96|91042|0|91042|0|43431|34446|9565|3000|600|0.0287|0.0307|7742|0.01|24|78153|20|5147|0.01|19
N|N0003|200106|AAT|11|23|24|69482|0|69482|0|44001|11264|6990|7227|0|0.0409|0.0463|2847|0.01|6|55935|19|10700|0.0172|19
N|N0003|200106|AAT|12|21|7|1716|0|1716|0|827|300|264|325|0|0.019|0.019|227|0.01|8|1489|40|||
N|N0003|200106|AAT|12|22|12|14422|0|14422|0|5407|4115|1600|2000|1200|0.0038|0.0177||||14422|175|||
N|N0003|200106|AAT|12|23|11|30776|0|28376|0|9033|10943|1300|2200|0|0.0007|0.0264||||28376|836|||
N|N0003|200106|AAT|12|24|4|28307|0|27307|0|8807|12200|0|0|4300|0.0269|0.0288||||27307|666|||
N|N0003|200106|AAT|13|21|88|26150|22400|3150|0|500|1150|200|1100|0|-0.0214|||||||||
N|N0003|200106|AAT|13|22|18|19075|3700|14675|0|500|4100|0|500|4415|-0.0136|||||||||
N|N0003|200106|AAT|13|23|21|65434|10692|38942|0|100|800|0|0|11300|-0.0147|||||||||
